Title,Author,Year,DOI,Venue,Link,Publisher,Abstract,Basic-Testing4Quantum?,Basic-QSTAndEmpirical?
Muskit: a mutation analysis tool for quantum software testing,"Mendiluze, E\~{n}aut and Ali, Shaukat and Arcaini, Paolo and Yue, Tao",2022.0,10.1109/ASE51524.2021.9678563,Proceedings of the 36th IEEE/ACM International Conference on Automated Software Engineering,https://doi.org/10.1109/ASE51524.2021.9678563,IEEE Press,"Given that quantum software testing is a new area of research, there is a lack of benchmark programs and bugs repositories to assess the effectiveness of testing techniques. To this end, quantum mutation analysis focuses on systematically generating faulty versions of Quantum Programs (QPs), called mutants, using mutation operators. Such mutants can be used as benchmarks to assess the quality of test cases in a test suite. Thus, we present Muskit - a quantum mutation analysis tool for QPs coded in IBM's Qiskit language. Muskit defines mutation operators on gates of QPs and selection criteria to reduce the number of mutants to generate. Moreover, it allows for the execution of test cases on mutants and generation of results for test analyses. Muskit is provided as command line interface, GUI, and web application. We validated Muskit by using it to generate and execute mutants for four QPs. Muskit code: https://github.com/Simula-COMPLEX/muskitWeb app: https://qiskitmutantcreatorsrl.pythonanywhere.com/YouTube Video: EbPHJOK_AEA Artifact Available: https://doi.org/10.5281/zenodo.5288917",[Y],[Y]
QDiff: differential testing of quantum software stacks,"Wang, Jiyuan and Zhang, Qian and Xu, Guoqing Harry and Kim, Miryung",2022.0,10.1109/ASE51524.2021.9678792,Proceedings of the 36th IEEE/ACM International Conference on Automated Software Engineering,https://doi.org/10.1109/ASE51524.2021.9678792,IEEE Press,"Over the past few years, several quantum software stacks (QSS) have been developed in response to rapid hardware advances in quantum computing. A QSS includes a quantum programming language, an optimizing compiler that translates a quantum algorithm written in a high-level language into quantum gate instructions, a quantum simulator that emulates these instructions on a classical device, and a software controller that sends analog signals to a very expensive quantum hardware based on quantum circuits. In comparison to traditional compilers and architecture simulators, QSSes are difficult to tests due to the probabilistic nature of results, the lack of clear hardware specifications, and quantum programming complexity.This work devises a novel differential testing approach for QSSes, named QDIFF with three major innovations: (1) We generate input programs to be tested via semantics-preserving, source to source transformation to explore program variants. (2) We speed up differential testing by filtering out quantum circuits that are not worthwhile to execute on quantum hardware by analyzing static characteristics such as a circuit depth, 2-gate operations, gate error rates, and T1 relaxation time. (3) We design an extensible equivalence checking mechanism via distribution comparison functions such as Kolmogorov-Smirnov test and cross entropy.We evaluate QDiff with three widely-used open source QSSes: Qiskit from IBM, Cirq from Google, and Pyquil from Rigetti. By running QDiff on both real hardware and quantum simulators, we found several critical bugs revealing potential instabilities in these platforms. QDiff's source transformation is effective in producing semantically equivalent yet not-identical circuits (i.e., 34% of trials), and its filtering mechanism can speed up differential testing by 66%.",[Y],[N]
Quito: a coverage-guided test generator for quantum programs,"Wang, Xinyi and Arcaini, Paolo and Yue, Tao and Ali, Shaukat",2022.0,10.1109/ASE51524.2021.9678798,Proceedings of the 36th IEEE/ACM International Conference on Automated Software Engineering,https://doi.org/10.1109/ASE51524.2021.9678798,IEEE Press,"Automation in quantum software testing is essential to support systematic and cost-effective testing. Towards this direction, we present a quantum software testing tool called Quito that can automatically generate test suites covering three coverage criteria defined on inputs and outputs of a quantum program coded in Qiskit, i.e., input coverage, output coverage, and input-output coverage. Quito also implements two types of test oracles based on program specifications, i.e., checking whether a quantum program produced a wrong output or checking a probabilistic test oracle with statistical test. We describe the architecture and methodology of the tool. We also validated the tool with one quantum program and one faulty version of it. Results indicate that Quito can generate test suites and perform test assessments that detect faults, and produce test results with a good time performance.Quito's code: https://github.com/Simula-COMPLEX/quitoQuito's video: https://youtu.be/kuI9QaCo8A8Artifact Available: https://doi.org/10.5281/zenodo.5288665",[Y],[Y]
Bugs4Q: a benchmark of real bugs for quantum programs,"Zhao, Pengzhan and Zhao, Jianjun and Miao, Zhongtao and Lan, Shuhan",2022.0,10.1109/ASE51524.2021.9678908,Proceedings of the 36th IEEE/ACM International Conference on Automated Software Engineering,https://doi.org/10.1109/ASE51524.2021.9678908,IEEE Press,"Realistic benchmarks of reproducible bugs and fixes are vital to good experimental evaluation of debugging and testing approaches. However, there is no suitable benchmark suite that can systematically evaluate the debugging and testing methods of quantum programs until now. This paper proposes Bugs4Q, a benchmark of thirty-six real, manually validated Qiskit bugs from four popular Qiskit elements (Terra, Aer, Ignis, and Aqua), supplemented with the test cases for reproducing buggy behaviors. Bugs4Q also provides interfaces for accessing the buggy and fixed versions of the Qiskit programs and executing the corresponding test cases, facilitating the reproducible empirical studies and comparisons of Qiskit program debugging and testing tools. Bugs4Q is publicly available at https://github.com/Z-928/Bugs4Q",[Y],[N]
QuCAT: A Combinatorial Testing Tool for Quantum Software,"Wang, Xinyi and Arcaini, Paolo and Yue, Tao and Ali, Shaukat",2024.0,10.1109/ASE56229.2023.00062,Proceedings of the 38th IEEE/ACM International Conference on Automated Software Engineering,https://doi.org/10.1109/ASE56229.2023.00062,IEEE Press,"With the increased developments in quantum computing, the availability of systematic and automatic testing approaches for quantum programs is becoming increasingly essential. To this end, we present the quantum software testing tool QuCAT for combinatorial testing of quantum programs. QuCAT provides two functionalities of use. With the first functionality, the tool generates a test suite of a given strength (e.g., pair-wise). With the second functionality, it generates test suites with increasing strength until a failure is triggered or a maximum strength is reached. QuCAT uses two test oracles to check the correctness of test outputs. We assess the cost and effectiveness of QuCAT with 3 faulty versions of 5 quantum programs. Results show that combinatorial test suites with a low strength can find faults with limited cost, while a higher strength performs better to trigger some difficult faults with relatively higher cost. Repository: https://github.com/Simula- COMPLEX/qucat- tool Video: https://youtu.be/UsqgOudKLio",[Y],[Y]
QuraTest: Integrating Quantum Specific Features in Quantum Program Testing,"Ye, Jiaming and Xia, Shangzhou and Zhang, Fuyuan and Arcaini, Paolo and Ma, Lei and Zhao, Jianjun and Ishikawa, Fuyuki",2024.0,10.1109/ASE56229.2023.00196,Proceedings of the 38th IEEE/ACM International Conference on Automated Software Engineering,https://doi.org/10.1109/ASE56229.2023.00196,IEEE Press,"The recent fast development of quantum computers breaks several computation limitations that are difficult for conventional computers. Up to the present, although many approaches and tools have been proposed to test quantum programs, the fundamental features of quantum programs, i.e., magnitude, phase, and entanglement, have been largely overlooked, leading to limited fault detection capability and reduced testing effectiveness. To address this problem, we propose an automated testing framework named QURATEST, equipped with three test case generators (including two newly proposed techniques, UCNOT and IQFT in this paper, as well as one based on Random techniques) to test quantum programs. Overall, the proposed generators enable the generation of diverse test inputs by considering the quantum features of quantum programs. In the experiments, we perform an in-depth evaluation of QURATEST from three aspects: generated test case diversity, output coverage of the program under test, and fault detection capability. The results demonstrate the potential of our newly proposed techniques in that IQFT can generate the most diverse test cases regarding magnitude, phase, and entanglement, with 66% cell coverage. Comparatively, the Random approach only has 10% cell coverage. Regarding the evaluations of the output coverage, IQFT can achieve the highest output coverage in 70.2% (33 out of 47) of all quantum programs. In terms of fault detection, UCNOT outperforms the other two techniques. Specifically, the test cases generated by UCNOT have the best mutation score in 88.4% (23 out of 26) quantum programs.",[Y],[Y]
QcAssert: Quantum Device Testing with Concurrent Assertions,"Witharana, Hasini and Volya, Daniel and Mishra, Prabhat",2024.0,10.1109/ASP-DAC58780.2024.10473900,Proceedings of the 29th Asia and South Pacific Design Automation Conference,https://doi.org/10.1109/ASP-DAC58780.2024.10473900,IEEE Press,"Quantum devices are extremely noisy due to its inherent architecture. This can introduce errors or completely erase the information stored in qubits. High noise levels in a quantum device can lead to errors even when the quantum circuit is not buggy. Therefore, it is essential to verify that the noise level of the device is tolerable while running the quantum circuit. In this paper, we propose a quantum device testing framework using concurrent assertions. Specifically, we introduce a new type of assertion ""QcAssert"", which has the ability to run concurrently with the quantum circuit to ensure that the quantum device is working as expected. We demonstrate the effectiveness of the QcAssert in dynamic device testing using a suite of popular quantum benchmarks, including Shor's factoring algorithm and Grover's search algorithm.",[Y],[N]
Ecmas: Efficient Circuit Mapping and Scheduling for Surface Code,"Zhu, Mingzheng and Fu, Hao and Wu, Jun and Zhang, Chi and Xie, Wei and Li, Xiang-Yang",2024.0,10.1109/CGO57630.2024.10444874,Proceedings of the 2024 IEEE/ACM International Symposium on Code Generation and Optimization,https://doi.org/10.1109/CGO57630.2024.10444874,IEEE Press,"As the leading candidate of quantum error correction codes, surface code suffers from significant overhead, such as execution time. Reducing the circuit's execution time not only enhances its execution efficiency but also improves fidelity. However, finding the shortest execution time is NP-hard.In this work, we study the surface code mapping and scheduling problem. To reduce the execution time of a quantum circuit, we first introduce two novel metrics: Circuit Parallelism Degree and Chip Communication Capacity to quantitatively characterize quantum circuits and chips. Then, we propose a resource-adaptive mapping and scheduling method, named Ecmas, with customized initialization of chip resources for each circuit. Ecmas can dramatically reduce the execution time in both double defect and lattice surgery models. Furthermore, we provide an additional version Ecmas-ReSu for sufficient qubits, which is performance-guaranteed and more efficient. Extensive numerical tests on practical datasets show that Ecmas outperforms the state-of-the-art methods by reducing the execution time by 51.5% on average for double defect model. Ecmas can reach the optimal result in most benchmarks, reducing the execution time by up to 13.9% for lattice surgery model.",[N],N/A
Quantum Software Testing: A Brief Introduction,"Ali, Shaukat and Yue, Tao",2023.0,10.1109/ICSE-Companion58688.2023.00093,2023 IEEE/ACM 45th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),https://doi.org/10.1109/ICSE-Companion58688.2023.00093,IEEE Press,"Quantum software testing concentrates on testing quantum programs to discover quantum faults in the programs cost-effectively. Given the foundations in quantum mechanics, the way quantum computations are performed is significantly different than classical computing. Therefore, quantum software testing also differs from classical software testing. There has been quite an interest in building quantum software testing techniques since 2019 in the software engineering (SE) community. Thus, we aim to introduce quantum software testing to the SE community. In particular, we will present the basic foundations of quantum computing and quantum programming as circuits, followed by the current state of the art on quantum software testing. Next, we will present some basic quantum software testing techniques and finally give the research directions that deserve attention from the SE community.",[Y],[N]
Addressing Recurring Bugs and Workflow Challenges in Quantum Software Engineering,"Zappin, Jake",2025.0,10.1109/ICSE-Companion66252.2025.00054,2025 IEEE/ACM 47th International Conference on Software Engineering: Companion Proceedings (ICSE-Companion),https://doi.org/10.1109/ICSE-Companion66252.2025.00054,IEEE Press,"This research addresses the unique challenges faced by quantum and hybrid quantum-classical (HQC) software developers, focusing on recurring bugs and workflow inefficiencies. Through an empirical analysis of developer forums, a comprehensive taxonomy of issues was developed, categorizing previously undocumented errors in areas such as quantum state manipulation, gate operations, and hybrid quantum-classical (HQC) integration. Building on these insights, this work proposes the development of specialized tools and methodologies informed by practitioners—such as a static analysis tool and an automated testing framework—to support effective debugging and testing in quantum applications. The ultimate goal is to enhance productivity and reliability in quantum software engineering, contributing to a robust quantum development ecosystem.",[Y],[N]
