PaperID,RootPaperID,Title,Author,Year,DOI,Venue,Link,Publisher,Abstract,BibTeX,Basic-Testing4Quantum?,Basic-QSTAndEmpirical?
83,1,Automatic repair of quantum programs via unitary operation,"Li, Yuechen and Pei, Hanyu and Huang, Linzhi and Yin, Beibei and Cai, Kai-Yuan",2024.0,10.1145/3664604,ACM Transactions on Software Engineering and Methodology,https://doi.org/10.1145/3664604,Association for Computing Machinery,"With the continuous advancement of quantum computing (QC), the demand for high-quality quantum programs (QPs) is growing. To avoid program failure, in software engineering, the technology of automatic program repair (APR) employs appropriate patches to remove potential bugs without the intervention of a human. However, the method tailored for repairing defective QPs is still absent. This article proposes, to the best of our knowledge, a new APR method named UnitAR that can repair QPs via unitary operation automatically. Based on the characteristics of superposition and entanglement in QC, the article constructs an algebraic model and adopts a generate-and-validate approach for the repair procedure. Furthermore, the article presents two schemes that can respectively promote the efficiency of generating patches and guarantee the effectiveness of applying patches. For the purpose of evaluating the proposed method, the article selects 29 mutated versions as well as five real-world buggy programs as the objects and introduces two traditional APR approaches GenProg and TBar as baselines. According to the experiments, UnitAR can fix 23 buggy programs, and this method demonstrates the highest efficiency and effectiveness among three APR approaches. Besides, the experimental results further manifest the crucial roles of two constituents involved in the framework of UnitAR.","@article{li2024automatic,
  title={Automatic repair of quantum programs via unitary operation},
  author={Li, Yuechen and Pei, Hanyu and Huang, Linzhi and Yin, Beibei and Cai, Kai-Yuan},
  journal={ACM Transactions on Software Engineering and Methodology},
  volume={33},
  number={6},
  pages={1--43},
  year={2024},
  publisher={ACM New York, NY}
}",[Y],[Y]
84,1,Bug-locating Method based on Statistical Testing for Quantum Programs.,"Sato, Naoto and Katsube, Ryota",2025.0,10.1109/TSE.2025.3597316,IEEE Transactions on Software Engineering,https://ieeexplore.ieee.org/abstract/document/11121593,IEEE Press,"When a bug is detected by testing a quantum program on a quantum computer, we want to determine its location to fix it. To locate the bug, the quantum program is divided into several segments, and each segment is tested. However, to prepare a quantum state that is input to a segment, it is necessary to execute all the segments ahead of that segment in a quantum computer. This means that the cost of testing each segment depends on its location. We can also locate a buggy segment only if it is confirmed that there are no bugs in all segments ahead of that buggy segment. Since a quantum program is tested statistically on the basis of measurement results, there is a tradeoff between testing accuracy and cost. These characteristics are unique to quantum programs and complicate locating bugs. We propose an efficient bug-locating method consisting of four approaches, i.e., cost-based binary search, early determination, finalization, and looking back, which take these characteristics into account. We present experimental results indicating that the proposed method can reduce bug-locating cost, represented as the number of executed quantum gates, compared with naive methods that do not use the four approaches. The limitations and usefulness of the proposed method are also discussed on the basis of the experimental results.","@article{sato2025bug,
  title={Bug-locating Method based on Statistical Testing for Quantum Programs},
  author={Sato, Naoto and Katsube, Ryota},
  journal={IEEE Transactions on Software Engineering},
  year={2025},
  publisher={IEEE}
}",[Y],[Y]
85,1,Model-Based Testing of Quantum Computations,"Lochau, Malte and Schaefer, Ina",2024.0,10.1007/978-3-031-72044-4_7,International Conference on Tests and Proofs,https://doi.org/10.1007/978-3-031-72044-4_7,Springer ,"Quantum computers are able to effectively solve certain types of problems being intractable by classical computers, including tasks from linear optimization, machine learning and simulation of natural phenomena. The counter-intuitive behavior of quantum algorithms makes it particularly important to develop practical techniques and tools to support the analysis and quality assurance of quantum programs. For classical programs, software testing is today one of the most effective and easy-to-use quality-assurance techniques. However, many postulates of quantum physics like superposition, entanglement and non-cloneability of qubit states as well as the probabilistic outcome and destructive effects of qubit measurements obstruct any straight-forward adaptation of classical testing techniques to quantum programs. Recent works either treat quantum programs as black-box components with classical interfaces to apply end-to-end testing or shift the focus of quality assurance to formal verification of quantum programs. In this paper, we instead propose a model-based framework for testing quantum computations at the level of execution traces. Our approach is independent of the quantum programming language and hardware used and utilizes probabilistic transition systems as abstract test model for both the specification and implementation to be tested. In our model, we carefully distinguish between controllable and observable as well as between nondeterministic and probabilistic test steps. Our framework makes quantum program testing a partly reactive process that can be complemented by statistical approaches for identifying erroneous qubit states by repeated measurements.

 This is a preview of subscription content, log in via an institut","@inproceedings{lochau2024model,
  title={Model-Based Testing of Quantum Computations},
  author={Lochau, Malte and Schaefer, Ina},
  booktitle={International Conference on Tests and Proofs},
  pages={127--147},
  year={2024},
  organization={Springer}
}",[Y],[N]
86,1,Poster: Fuzz testing of quantum program,"Wang, Jiyuan and Ma, Fucheng and Jiang, Yu",2021.0,10.1109/ICST49551.2021.00061,"2021 14th IEEE Conference on Software Testing, Verification and Validation (ICST)",https://ieeexplore.ieee.org/abstract/document/9438606,IEEE Press,"Nowadays, quantum program is widely used and quickly developed. However, the absence of testing methodology restricts their quality. Different input format and operator from traditional program make this issue hard to resolve. In this paper, we present QuanFuzz, a search-based test input generator for quantum program. We define the quantum sensitive information to evaluate test input for quantum program and use matrix generator to generate test cases with higher coverage. Because of the impossibility of copying qubit, we record the operations which lead initial seeds to test inputs instead of recording qubits themselves. First, we extract quantum sensitive information – measurement operations on those quantum registers and the sensitive branches associated with those measurement results, from the quantum source code. Then, we use the sensitive information guided algorithm to mutate the initial input matrix and select those matrices which improve the probability weight for a value of the quantum register to trigger the sensitive branch. QuanFuzz on benchmarks and acquired 20% - 60% more coverage compared to traditional testing methods.","@inproceedings{wang2021poster,
  title={Poster: Fuzz testing of quantum program},
  author={Wang, Jiyuan and Ma, Fucheng and Jiang, Yu},
  booktitle={2021 14th IEEE Conference on Software Testing, Verification and Validation (ICST)},
  pages={466--469},
  year={2021},
  organization={IEEE}
}",[Y],[Y]
87,2,Fuzzing-based differential testing for quantum simulators,"Blackwell, Daniel and Petke, Justyna and Cao, Yazhuo and Bensoussan, Avner",2024.0,10.1007/978-3-031-64573-0_6,International Symposium on Search Based Software Engineering,https://link.springer.com/chapter/10.1007/978-3-031-64573-0_6,Springer,"Quantum programs are hard to develop and test due to their probabilistic nature and the restricted availability of quantum computers. Quantum simulators have thus been introduced to help software developers. There are, however, no formal proofs that these simulators behave in exactly the way that real quantum hardware does, which could lead to errors in their implementation. Here we propose to use a search-based technique, grammar-based fuzzing, to generate syntactically valid quantum programs, and use differential testing to search for inconsistent behaviour between selected quantum simulators. We tested our approach on three simulators: Braket, Quantastica, and Qiskit. Overall, we generated and ran over 400k testcases, 2,327 of which found new coverage, and 292 of which caused crashes, hangs or divergent behaviour. Our analysis revealed 4 classes of bugs, including a bug in the OpenQASM 3 stdgates.inc standard gates library, affecting all the simulators. All but one of the bugs reported to the developers have been already fixed by them, while the remaining bug has been acknowledged as a true bug.","@inproceedings{blackwell2024fuzzing,
  title={Fuzzing-based differential testing for quantum simulators},
  author={Blackwell, Daniel and Petke, Justyna and Cao, Yazhuo and Bensoussan, Avner},
  booktitle={International Symposium on Search Based Software Engineering},
  pages={63--69},
  year={2024},
  organization={Springer}
}",[Y],[N]
88,4,Qbugs: A collection of reproducible bugs in quantum algorithms and a supporting infrastructure to enable controlled quantum software testing and debugging experiments,"Campos, Jos{\'e} and Souto, Andr{\'e}",2021.0,10.1109/Q-SE52541.2021.00013,2021 IEEE/ACM 2nd International Workshop on Quantum Software Engineering (Q-SE),https://ieeexplore.ieee.org/abstract/document/9474565,IEEE Press,"Reproducibility and comparability of empirical results are at the core tenet of the scientific method in any scientific field. To ease reproducibility of empirical studies, several benchmarks in software engineering research, such as Defects4J, have been developed and widely used. For quantum software engineering research, however, no benchmark has been established yet. In this position paper, we propose a new benchmark-named QBugs-which will provide experimental subjects and an experimental infrastructure to ease the evaluation of new research and the reproducibility of previously published results on quantum software engineering","@inproceedings{campos2021qbugs,
  title={Qbugs: A collection of reproducible bugs in quantum algorithms and a supporting infrastructure to enable controlled quantum software testing and debugging experiments},
  author={Campos, Jos{\'e} and Souto, Andr{\'e}},
  booktitle={2021 IEEE/ACM 2nd International Workshop on Quantum Software Engineering (Q-SE)},
  pages={28--32},
  year={2021},
  organization={IEEE}
}",[Y],[N]
89,6,Is Your Quantum Program Bug-Free?,"A. Miranskyy, L. Zhang, and J. Doliskani",2020.0,10.1145/3377816.3381731,Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering: New Ideas and Emerging Results,https://dl.acm.org/doi/10.1145/3377816.3381731,Association for Computing Machinery,"Quantum computers are becoming more mainstream. As more programmers are starting to look at writing quantum programs, they face an inevitable task of debugging their code. How should the programs for quantum computers be debugged?In this paper, we discuss existing debugging tactics, used in developing programs for classic computers, and show which ones can be readily adopted. We also highlight quantum-computer-specific debugging issues and list novel techniques that are needed to address these issues. The practitioners can readily apply some of these tactics to their process of writing quantum programs, while researchers can learn about opportunities for future work.","@inproceedings{10.1145/3377816.3381731,
author = {Miranskyy, Andriy and Zhang, Lei and Doliskani, Javad},
title = {Is your quantum program bug-free?},
year = {2020},
isbn = {9781450371261},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
url = {https://doi.org/10.1145/3377816.3381731},
doi = {10.1145/3377816.3381731},
abstract = {Quantum computers are becoming more mainstream. As more programmers are starting to look at writing quantum programs, they face an inevitable task of debugging their code. How should the programs for quantum computers be debugged?In this paper, we discuss existing debugging tactics, used in developing programs for classic computers, and show which ones can be readily adopted. We also highlight quantum-computer-specific debugging issues and list novel techniques that are needed to address these issues. The practitioners can readily apply some of these tactics to their process of writing quantum programs, while researchers can learn about opportunities for future work.},
booktitle = {Proceedings of the ACM/IEEE 42nd International Conference on Software Engineering: New Ideas and Emerging Results},
pages = {29–32},
numpages = {4},
location = {Seoul, South Korea},
series = {ICSE-NIER '20}
}",[Y],[N]
90,12,Bugs in quantum computing platforms: an empirical study,"Paltenghi, Matteo and Pradel, Michael",2022.0,10.1145/3527330,Proc. ACM Program. Lang.,https://dl.acm.org/doi/abs/10.1145/3527330,Association for Computing Machinery,"The interest in quantum computing is growing, and with it, the importance of software platforms to develop quantum programs. Ensuring the correctness of such platforms is important, and it requires a thorough understanding of the bugs they typically suffer from. To address this need, this paper presents the first in-depth study of bugs in quantum computing platforms. We gather and inspect a set of 223 real-world bugs from 18 open-source quantum computing platforms. Our study shows that a significant fraction of these bugs (39.9%) are quantum-specific, calling for dedicated approaches to prevent and find them. The bugs are spread across various components, but quantum-specific bugs occur particularly often in components that represent, compile, and optimize quantum programming abstractions. Many quantum-specific bugs manifest through unexpected outputs, rather than more obvious signs of misbehavior, such as crashes. Finally, we present a hierarchy of recurrent bug patterns, including ten novel, quantum-specific patterns. Our findings not only show the importance and prevalence bugs in quantum computing platforms, but they help developers to avoid common mistakes and tool builders to tackle the challenge of preventing, finding, and fixing these bugs.","@article{10.1145/3527330,
author = {Paltenghi, Matteo and Pradel, Michael},
title = {Bugs in Quantum computing platforms: an empirical study},
year = {2022},
issue_date = {April 2022},
publisher = {Association for Computing Machinery},
address = {New York, NY, USA},
volume = {6},
number = {OOPSLA1},
url = {https://doi.org/10.1145/3527330},
doi = {10.1145/3527330},
abstract = {The interest in quantum computing is growing, and with it, the importance of software platforms to develop quantum programs. Ensuring the correctness of such platforms is important, and it requires a thorough understanding of the bugs they typically suffer from. To address this need, this paper presents the first in-depth study of bugs in quantum computing platforms. We gather and inspect a set of 223 real-world bugs from 18 open-source quantum computing platforms. Our study shows that a significant fraction of these bugs (39.9\%) are quantum-specific, calling for dedicated approaches to prevent and find them. The bugs are spread across various components, but quantum-specific bugs occur particularly often in components that represent, compile, and optimize quantum programming abstractions. Many quantum-specific bugs manifest through unexpected outputs, rather than more obvious signs of misbehavior, such as crashes. Finally, we present a hierarchy of recurrent bug patterns, including ten novel, quantum-specific patterns. Our findings not only show the importance and prevalence bugs in quantum computing platforms, but they help developers to avoid common mistakes and tool builders to tackle the challenge of preventing, finding, and fixing these bugs.},
journal = {Proc. ACM Program. Lang.},
month = apr,
articleno = {86},
numpages = {27},
keywords = {empirical study, quantum computing platform, software bugs}
}",[Y],[N]
91,12,QChecker: Detecting Bugs in Quantum Programs via Static Analysis,"Zhao, Pengzhan and Wu, Xiongfei and Li, Zhuo and Zhao, Jianjun",2023.0,10.1109/Q-SE59154.2023.00014,2023 IEEE/ACM 4th International Workshop on Quantum Software Engineering (Q-SE),https://ieeexplore.ieee.org/abstract/document/10189127,IEEE Press,"Static analysis is the process of analyzing software code without executing the software. It can help find bugs and potential problems in software that may only appear at runtime. Although many static analysis tools have been developed for classical software, due to the nature of quantum programs, these existing tools are unsuitable for analyzing quantum programs. This paper presents QChecker, a static analysis tool that supports finding bugs in quantum programs in Qiskit. QChecker consists of two main modules: a module for extracting program information based on abstract syntax tree (AST), and a module for detecting bugs based on patterns. We evaluate the performance of QChecker using the Bugs4Q benchmark. The evaluation results show that QChecker can effectively detect various bugs in quantum programs.","@INPROCEEDINGS{10189127,
  author={Zhao, Pengzhan and Wu, Xiongfei and Li, Zhuo and Zhao, Jianjun},
  booktitle={2023 IEEE/ACM 4th International Workshop on Quantum Software Engineering (Q-SE)}, 
  title={QChecker: Detecting Bugs in Quantum Programs via Static Analysis}, 
  year={2023},
  volume={},
  number={},
  pages={50-57},
  keywords={Runtime;Codes;Conferences;Computer bugs;Static analysis;Syntactics;Benchmark testing;quantum programming;static analysis;software testing;program debugging;Qiskit},
  doi={10.1109/Q-SE59154.2023.00014}}
",[Y],[N]
92,12,An empirical study of bugs in quantum machine learning frameworks,"Zhao, Pengzhan and Wu, Xiongfei and Luo, Junjie and Li, Zhuo and Zhao, Jianjun",2023.0,10.1109/QSW59989.2023.00018,2023 IEEE International Conference on Quantum Software (QSW),https://ieeexplore.ieee.org/abstract/document/10234299,IEEE Press,"Quantum computing has emerged as a promising domain for the machine learning (ML) area, offering significant computational advantages over classical counterparts. With the growing interest in quantum machine learning (QML), ensuring the correctness and robustness of software platforms to develop such QML programs is critical. A necessary step for ensuring the reliability of such platforms is to understand the bugs they typically suffer from. To address this need, this paper presents the first comprehensive study of bugs in QML frameworks. We inspect 391 real-world bugs collected from 22 open-source repositories of nine popular QML frameworks. We find that 1) 28% of the bugs are quantum-specific, such as erroneous unitary matrix implementation, calling for dedicated approaches to find and prevent them; 2) We manually distilled a taxonomy of five symptoms and nine root cause of bugs in QML platforms; 3) We summarized four critical challenges for QML framework developers. The study results provide researchers with insights into how to ensure QML framework quality and present several actionable suggestions for QML framework developers to improve their code quality.","@INPROCEEDINGS{10234299,
  author={Zhao, Pengzhan and Wu, Xiongfei and Luo, Junjie and Li, Zhuo and Zhao, Jianjun},
  booktitle={2023 IEEE International Conference on Quantum Software (QSW)}, 
  title={An Empirical Study of Bugs in Quantum Machine Learning Frameworks}, 
  year={2023},
  volume={},
  number={},
  pages={68-75},
  abstract={Quantum computing has emerged as a promising domain for the machine learning (ML) area, offering significant computational advantages over classical counterparts. With the growing interest in quantum machine learning (QML), ensuring the correctness and robustness of software platforms to develop such QML programs is critical. A necessary step for ensuring the reliability of such platforms is to understand the bugs they typically suffer from. To address this need, this paper presents the first comprehensive study of bugs in QML frameworks. We inspect 391 real-world bugs collected from 22 open-source repositories of nine popular QML frameworks. We find that 1) 28% of the bugs are quantum-specific, such as erroneous unitary matrix implementation, calling for dedicated approaches to find and prevent them; 2) We manually distilled a taxonomy of five symptoms and nine root cause of bugs in QML platforms; 3) We summarized four critical challenges for QML framework developers. The study results provide researchers with insights into how to ensure QML framework quality and present several actionable suggestions for QML framework developers to improve their code quality.},
  keywords={Codes;Computer bugs;Taxonomy;Qubit;Machine learning;Software;Robustness;quantum machine learning;quantum software testing;quantum program debugging;empirical study},
  doi={10.1109/QSW59989.2023.00018},
  ISSN={},
  month={July},}
",[Y],[N]
